Months, PRED, PETD, CLDD, DTRD, TMPD, TMND, TMXD, VAPD, WETD,  FRSD
Jun,98.9,5.4,58.5,10,28.5,23.5,33.5,24.5,8.75,0
Jul,160.9,4.1,68.7,8.8,25.9,21.5,30.3,24.5,12.48,0
Aug,188.6,3.8,69.4,9.1,25.6,21.1,30.2,25.4,13.37,0
Sep,107.2,4.1,61.6,10.7,25.7,20.4,31.1,24.7,9,0
Oct,0.8,5.2,51,13.5,27.1,20.4,33.9,19.2,0.24,0
Nov,0,6.1,44,16.4,25.4,17.2,33.6,9.7,0,0
Dec,0,5.4,52.5,14.7,21.4,14.1,28.8,8.1,0,0
Jan,0,5.9,43.5,16.8,21.1,12.7,29.5,5.6,0,0
Feb,0,7.4,44.3,16.6,26.7,18.4,35,7,0,0
Mar,1.5,7.5,58.5,14.7,29.9,22.6,37.3,10.1,0,0
Apr,2.3,7.6,59,13.8,32.3,25.4,39.2,17.1,0.58,0
May,23,6.5,58.3,12.4,30.6,24.4,36.8,22.6,3.53,0
Jun,63.5,5.7,56.5,11.4,28.9,23.2,34.6,23.9,6.82,0
Jul,212.8,4,68.7,8.8,25.6,21.2,30,24.7,14.2,0
Aug,185.6,3.8,69.9,9.5,25.5,20.8,30.3,25.3,13.28,0
Sep,150.1,3.9,62.7,10.4,25.4,20.2,30.6,24.8,10.69,0
Oct,3.2,5.2,53.5,13.6,27.1,20.3,33.9,18.9,0.51,0
Nov,0,6,45.8,15.6,25.3,17.5,33.1,9.4,0,0
Dec,0,5.3,49.3,15.2,20.8,13.2,28.4,8.1,0,0
Jan,0,6.2,38,17.6,22.2,13.4,31,6.5,0,0
Feb,0,7.2,44.4,16.8,25.9,17.5,34.3,7,0,0
Mar,1.5,7.4,57.8,14.6,28.9,21.6,36.2,9.3,0,0
Apr,0,7,58,14,29.4,22.4,36.4,15.7,0,0
May,32.2,6.9,52.3,13.7,31.2,24.4,38.1,22.5,3.33,0
Jun,103.9,5.5,56.8,11.1,28.6,23.1,34.2,24.3,8.57,0
Jul,136.1,4.7,63.6,10.6,28.3,23,33.6,27.6,11.71,0
Aug,166.4,3.7,70.6,8.9,26.5,22.1,31,27.7,12.36,0
Sep,67.5,4.2,60.9,10.5,27,21.8,32.3,27.1,7.34,0
Oct,12.7,5.1,56.2,12.8,27.3,20.9,33.7,19.1,1.36,0
Nov,0,6.1,43.2,16.6,25.3,17,33.6,9.3,0,0
Dec,0,5.8,44.3,16.1,22.8,14.8,30.9,9,0,0
Jan,0,5.7,56.4,14.6,21.7,14.4,29,6.3,0,0
Feb,0,6.9,53.3,15.3,25,17.4,32.7,6.1,0,0
Mar,0.4,7.3,57.2,14.6,28.9,21.6,36.2,10.2,0,0
Apr,51.1,7.3,61.1,12.9,31.6,25.2,38.1,17.1,3.35,0
May,35.9,6.6,59,12.2,31.2,25.1,37.3,22.9,4.17,0
Jun,150.8,5.5,58.9,10.4,28.7,23.5,33.9,24.3,10.48,0
Jul,162.2,4,69.9,8.2,25.9,21.8,30,25,12.78,0
Aug,325.9,3.3,73.6,7.7,24.6,20.8,28.5,25.4,16.91,0
Sep,140.2,3.9,64.1,9.6,25.6,20.8,30.4,25.1,10.28,0
Oct,26.4,5,53.3,13.8,26.2,19.3,33.1,18.8,1.73,0
Nov,0,6.1,40.2,17.5,24.8,16.1,33.6,9.3,0,0
Dec,0,5.4,50.8,15.2,21.5,13.9,29.1,8.7,0,0
Jan,0,5.4,51.8,15.2,19.2,11.6,26.8,5.4,0,0
Feb,0,6.4,55.1,15,21.9,14.4,29.4,4.7,0,0
Mar,0,7.2,51.4,16.4,27.3,19.1,35.5,9.6,0,0
Apr,6.8,7.5,51.3,15.7,30.4,22.6,38.3,16.7,0.95,0
May,36.8,6.2,59.8,12.2,29.7,23.6,35.8,22.3,4.24,0
Jun,62.4,5.5,56.9,11.5,28.4,22.7,34.2,24.2,7.09,0
Jul,179.4,4.3,67,9.3,26.4,21.8,31.1,25,13.32,0
Aug,274.4,3.5,70.4,8.8,24.9,20.5,29.3,25.5,15.89,0
Sep,67.1,4.1,61.8,10.3,26.2,21.1,31.4,25,7.26,0
Oct,50.1,4.9,56,13.1,26.3,19.8,32.9,18.7,3.32,0
Nov,0,6,42.9,16.6,24.7,16.4,33,8.9,0,0
Dec,0,5.6,46.7,16.1,22.1,14.1,30.2,9.1,0,0
Jan,0,6.1,48.4,16.3,23.2,15.1,31.4,7.2,0,0
Feb,0,6.6,50.3,16,23.2,15.2,31.2,5.9,0,0
Mar,0,7.2,61,15.5,26.5,18.8,34.3,7,0,0
Apr,0.9,7.5,57.9,14,31.6,24.6,38.6,16.8,0.27,0
May,73.5,6.4,60.8,12.4,30.6,24.4,36.8,22.8,6.15,0
Jun,68.6,5.7,56.4,11.2,29.2,23.6,34.8,24.8,7.3,0
Jul,227.2,4.1,67.6,8.9,25.8,21.4,30.3,24.9,14.9,0
Aug,173.9,3.9,69.8,9.1,26,21.5,30.6,25.6,12.67,0
Sep,80.8,4.4,60.1,10.9,26.8,21.4,32.3,25,7.9,0
Oct,4.1,5.3,52.5,14.1,27.6,20.6,34.7,19.3,0.64,0
Nov,0,6,47.7,15.7,26.2,18.4,34.1,10.7,0,0
Dec,0,6,47.3,15.3,25.1,17.5,32.8,10.8,0,0
Jan,0,6,49.9,15.5,22.1,14.4,29.9,6,0,0
Feb,0,7.5,44.1,16.3,27.9,19.8,36.1,7.7,0,0
Mar,1.5,7.3,57,14.5,29,21.8,36.3,10.4,0,0
Apr,24.1,7.1,61.3,12.7,31.4,25.1,37.8,17.9,2.5,0
May,135.3,5.5,68.6,9.6,29,24.2,33.8,22.8,8.37,0
Jun,123.1,5.4,57.1,10.8,28.5,23.1,33.9,24.8,9.61,0
Jul,175.1,4.1,68.4,8.9,26,21.6,30.5,25.1,13.09,0
Aug,294.5,3.5,72.4,8.3,25.1,21,29.3,25.6,16.15,0
Sep,35.6,4.4,60.9,11.9,27,21.1,33,25.2,5.2,0
Oct,7.2,5.2,52.8,14,27.1,20.1,34.1,19.1,0.95,0
Nov,0,6,47,16,25,17,33,9.3,0,0
Dec,0,5.5,47.1,15.6,21.7,13.9,29.5,8.9,0,0
Jan,0,5.7,55,14.5,20.7,13.5,28,5.2,0,0
Feb,0,6.8,50.5,15,23.3,15.8,30.8,4.1,0,0
Mar,7.7,7.5,57.7,14.1,29.1,22.1,36.2,8.8,0,0
Apr,55.4,7.2,61.5,13,31,24.5,37.5,16.6,2.22,0
May,76.4,6,63,11.3,29.8,24.2,35.5,22.8,6.2,0
Jun,78.6,5.6,56.5,10.9,28.8,23.4,34.3,24.2,7.67,0
Jul,213.5,4,68.7,8.6,25.8,21.5,30.1,25,14.37,0
Aug,231.7,3.6,73.1,8.4,25.5,21.3,29.7,25.3,14.52,0
Sep,157.8,4.1,62.7,10.6,26.1,20.8,31.4,24.7,10.83,0
Oct,26.2,5.2,53.6,14.6,27.1,19.8,34.4,19,1.91,0
Nov,0,5.7,52.3,14.4,24.4,17.2,31.6,9.4,0,0
Dec,0,5.7,39.4,17.3,22,13.4,30.7,8.8,0,0
Jan,0,5.6,53.5,14.9,19.8,12.4,27.3,5.1,0,0
Feb,0,7.1,44.8,16.2,24.8,16.7,32.9,5.8,0,0
Mar,0.2,7.5,55.8,15.2,29,21.4,36.6,9.5,0,0
Apr,5.4,7.4,54.9,14.5,30.8,23.6,38.1,16.6,0.83,0
May,52.6,6.4,59.1,11.9,31,25.1,37,23.9,5.22,0
Jun,107.5,5.6,55.6,11.5,28.7,23,34.5,24.7,8.75,0
Jul,221.2,4.5,66.6,9.9,27,22.1,32,25,14.46,0
Aug,228.7,3.7,73.4,8.6,25.7,21.4,30,25.5,14.38,0
Sep,89.4,4.2,61.7,10.8,26.3,20.9,31.7,24.9,8.29,0
Oct,9.2,5.3,52,14.2,27.7,20.6,34.8,19.4,0.85,0
Nov,0,6.3,44.6,16.6,27.1,18.8,35.4,10.9,0,0
Dec,0,5.6,49.7,15.1,22.5,15,30.1,9.1,0,0
Jan,0,5.9,49.3,15.9,22,14.1,30,6.2,0,0
Feb,0,6.9,51,15.6,24.3,16.5,32.1,5.8,0,0
Mar,0,7.8,50.2,16,30.1,22.1,38.1,9.9,0,0
Apr,27.5,7.2,64.4,12.5,31.3,25.1,37.6,16.9,2.18,0
May,27.2,6.4,58.3,11.9,30.6,24.7,36.6,22.9,3.41,0
Jun,89.2,5.5,57.3,11.1,28.5,23,34.1,24.3,8.24,0
Jul,166.8,4,68.7,8.6,25.9,21.6,30.2,25.1,12.8,0
Aug,295.3,3.2,73.6,7.6,24.3,20.5,28.1,25.5,16.29,0
Sep,186.3,3.8,63.9,9.8,25,20.1,29.9,24.5,11.57,0
Oct,41.9,4.9,60.1,12.1,27,21,33.1,19.4,2.76,0
Nov,0,5.9,45.1,16.2,24.4,16.3,32.5,9,0,0
Dec,0,5.5,44.2,15.4,21,13.3,28.7,7.9,0,0
Jan,0,5.8,46.4,16.3,20.2,12.1,28.4,5.3,0,0
Feb,0,7,44.5,16.1,23.3,15.3,31.4,4.4,0,0
Mar,0.2,7.7,51,15.9,29.8,21.9,37.8,10,0,0
Apr,16.1,7.1,60.6,13.2,31,24.4,37.6,17.2,2.34,0
May,28,6.4,57.9,12.5,30.5,24.3,36.8,22.9,2.97,0
Jun,109,5.7,56.6,11.4,29.2,23.5,34.9,24.4,9.06,0
Jul,186.8,4.5,67.1,9.6,27.1,22.3,31.9,25.2,13.35,0
Aug,162,3.8,71.3,9.3,25.9,21.3,30.6,25.8,12.43,0
Sep,161.3,4.2,62.2,10.7,26.4,21.1,31.8,25.2,10.95,0
Oct,2.1,5.2,56.8,13.5,27.6,20.9,34.4,19.4,0.37,0
Nov,0,5.9,45.2,15.9,24.5,16.6,32.5,9.1,0,0
Dec,0,6,37.1,16.8,24.2,15.8,32.6,10.2,0,0
Jan,0,6.5,43.3,18.5,23.6,14.4,32.9,6.4,0,0
Feb,0,7.5,41.1,17.1,26.9,18.4,35.5,7.3,0,0
Mar,0,7.7,53.7,15.3,30,22.4,37.7,9.9,0,0
Apr,9.4,7.2,60,14.1,30.7,23.7,37.8,16.7,1.36,0
May,49.7,6.6,51.6,12.5,30.6,24.4,36.9,22.9,5.14,0
Jun,110.7,5.4,51.8,10.7,27.9,22.6,33.3,24.5,9.23,0
Jul,194.2,4.7,64,9.9,27.3,22.4,32.3,25.1,13.7,0
Aug,217.8,3.7,72.9,9.1,25.6,21.1,30.2,25.6,13.93,0
Sep,153.6,4.1,60.1,10.3,26,20.9,31.2,25,10.5,0
Oct,20.3,5.1,55,13.2,27.2,20.6,33.8,18.9,1.53,0
Nov,0,5.7,45,15.9,23.4,15.5,31.4,9,0,0
Dec,0,6,35.2,18,23.2,14.2,32.2,9.2,0,0
Jan,0,6.2,46.5,17.3,23.3,14.7,32,6.9,0,0
Feb,0,6.6,58,14.2,22.7,15.6,29.8,4,0,0
Mar,0.6,7.1,64.1,13.1,28.3,21.8,34.9,9.2,0,0
Apr,54.1,7.1,58.5,13.2,30.4,23.8,37,16.7,5.01,0
May,94.2,6,63.5,11.8,29.6,23.7,35.5,22.6,6.81,0
Jun,103.1,5.4,55.7,10.6,28.6,23.3,33.9,25.5,8.71,0
Jul,199.4,4.3,67.1,9.1,27.1,22.6,31.7,26,13.8,0
Aug,239.3,3.8,69.1,9.1,26.2,21.7,30.8,26.5,14.68,0
Sep,176.4,4.2,64.8,11,27.6,22.1,33.1,27.1,11.35,0
Oct,42.9,5.5,45.6,13.2,28.7,22.1,35.3,21,3.41,0
Nov,0,6.2,43.3,17.2,26.9,18.3,35.5,11.4,0,0
Dec,0,5.7,45.1,16.7,22.8,14.5,31.2,9.5,0,0
Jan,0,5.9,56.1,16.4,22.1,13.9,30.3,6.1,0,0
Feb,0,7.3,46.4,15.5,26.6,18.9,34.4,6.9,0,0
Mar,5.4,7,61.9,14.7,26.7,19.4,34.1,8,0,0
Apr,25.6,7.3,66.9,13.8,32.5,25.6,39.4,18.3,3.53,0
May,60.9,6.5,60,11.7,32,26.2,37.9,25.6,5.68,0
Jun,105.1,5.3,66.2,10.8,29.2,23.8,34.6,25.7,8.99,0
Jul,216.4,4,77.5,8.6,27.1,22.8,31.4,26.5,14.54,0
Aug,282.7,3.4,77.9,8.1,25.9,21.9,30,27,15.93,0
Sep,188,4,62.6,9.5,25.6,20.9,30.4,24.8,11.52,0
Oct,24.5,5.2,51.2,12.5,27.8,21.6,34.1,20.6,2.36,0
Nov,0,6.2,41.8,16.5,26.4,18.2,34.7,10.8,0,0
Dec,0,5.8,46.1,16.5,23.5,15.3,31.8,9.9,0,0
Jan,0,6.2,42.2,17.3,22.8,14.2,31.5,6.6,0,0
Feb,0,7.5,37.7,16.5,26.1,17.9,34.4,5.8,0,0
Mar,0.2,8,50.6,17.4,30.7,22,39.4,10.6,0,0
Apr,2,7.2,62.2,14.1,31.1,24.1,38.2,16.9,0.29,0
May,24.2,6.2,66.9,12.9,30.1,23.7,36.6,22.1,2.96,0
Jun,60.8,5.8,56.6,12.2,29.2,23.1,35.3,24.3,6.92,0
Jul,178.6,4.1,71.4,9.2,26.1,21.5,30.7,24.9,13.16,0
Aug,316.4,3.2,76.7,7.8,24.8,20.9,28.7,26,16.77,0
Sep,218.8,4,61.7,10.2,25.4,20.3,30.5,24.2,12.68,0
Oct,59.6,4.9,58,12.9,26.7,20.3,33.2,19.5,3.98,0
Nov,0,6,50.7,16.1,25.9,17.9,34,10.2,0,0
Dec,0,5.8,41.2,16.8,22.4,14,30.8,8.9,0,0
Jan,0,6,48.8,16.2,22.5,14.4,30.6,6.3,0,0
Feb,0,6.7,49.5,14.3,22.4,15.3,29.6,3.6,0,0
Mar,0.3,7.2,62,15.6,27.6,19.8,35.4,8.5,0,0
Apr,2.1,7.7,51.6,15.7,31.6,23.8,39.5,17.1,0.29,0
May,34.8,6.5,61.1,13.4,30.8,24.1,37.5,22.9,3.03,0
Jun,99.8,5.5,54.6,11.2,28.4,22.8,34,24.6,8.19,0
Jul,260.6,4.1,71,9.4,26.1,21.4,30.8,24.9,15.47,0
Aug,215.7,3.8,69.3,9.6,25.7,20.9,30.5,25.3,14.23,0
Sep,129,4.2,61.3,11.1,26.2,20.7,31.8,25.3,9.34,0
Oct,49.9,5.1,52,13.9,26.5,19.6,33.5,18.6,3.49,0
Nov,0,6.1,46,17.1,25.4,16.9,34,9.6,0,0
Dec,0,5.7,47.5,16.7,22,13.7,30.4,8.3,0,0
Jan,0,6.1,47.6,17.9,21.3,12.4,30.3,5.5,0,0
Feb,0,6.9,49.3,15.5,23.7,16,31.5,5,0,0
Mar,0.1,7.7,48.8,17.1,28.7,20.2,37.3,9.2,0,0
Apr,56.3,7.1,64.3,13.1,31.3,24.8,37.9,17.4,5.25,0
May,86.3,6.4,60,12.2,30.9,24.8,37,23.2,7.13,0
Jun,102,5.5,53.3,10.8,28.1,22.7,33.5,23.8,9,0
Jul,251.3,4.2,70.3,9.3,26.3,21.7,31,24.6,15.73,0
Aug,308.1,3.5,76.8,8.8,25.4,21,29.8,25.5,16.82,0
Sep,144.3,4.1,62,10.5,26,20.8,31.3,24.7,10.71,0
Oct,1,5.2,50.4,13.3,26.9,20.3,33.6,18.6,0.07,0
Nov,0,6.1,40.7,17.2,25.1,16.5,33.7,9.2,0,0
Dec,0,6.1,38.6,17.3,24,15.4,32.7,9.5,0,0
Jan,0,5.7,48.5,14.7,20.5,13.2,27.9,5.1,0,0
Feb,0,7.1,43.2,16.4,24.5,16.3,32.7,5.5,0,0
Mar,0.1,7.5,58.3,15.7,29.5,21.7,37.4,10.3,0,0
Apr,3.8,7.3,63.3,13.6,32.1,25.3,38.9,18.2,0.76,0
May,12.9,6.8,58,13.9,31.2,24.3,38.2,22.5,2.12,0
Jun,54.1,5.6,56.4,11.5,28.9,23.2,34.7,24.7,6.81,0
Jul,180.9,4.3,71.3,10.2,27.2,22.1,32.3,25.7,13.45,0
Aug,188.5,3.8,71.5,9.4,25.8,21.1,30.5,25.7,13.5,0
Sep,173.7,4.4,55.4,10.9,26.4,21,31.9,24.8,11.68,0
Oct,80.5,4.9,54.5,12.4,26.5,20.3,32.7,19.4,4.94,0
Nov,0,6,49.7,16.5,25.5,17.3,33.8,10,0,0
Dec,0,6,39.8,17.3,23.2,14.6,31.9,9.2,0,0
Jan,0,6.3,39.4,18,22.8,13.8,31.8,6.4,0,0
Feb,0,7.4,43.1,17.1,27.1,18.6,35.7,7.7,0,0
Mar,0.1,7.2,62.5,14.7,27.9,20.6,35.3,8.6,0,0
Apr,40.9,7.3,58.5,13.6,31.5,24.7,38.3,17.7,3.5,0
May,136.6,6.8,51.1,14.3,30.3,23.2,37.5,21.8,8.36,0
Jun,241.5,5.1,63.9,10.4,27.8,22.6,33,24.2,13.27,0
Jul,242.9,4.5,62.5,9.3,26.6,22,31.3,25,15.32,0
Aug,320,3.7,71.7,8.7,25.3,21,29.7,25.2,17.06,0
Sep,134.8,4,64,10.6,26,20.7,31.3,25.1,10.45,0
Oct,9.6,5.2,54.2,13.8,28,21.1,34.9,20.2,1.67,0
Nov,0,6.1,51,16.4,26.5,18.3,34.7,10.9,0,0
Dec,0,5.7,45.8,16.7,22.8,14.5,31.2,9.5,0,0
Jan,0,6.1,47.4,16.7,22.9,14.6,31.3,6.8,0,0
Feb,0,6.8,61.8,15.6,25,17.2,32.8,6.5,0,0
Mar,0.1,7,65.7,14.6,27.6,20.3,34.9,8.7,0,0
Apr,0.8,7.5,53.6,14.4,31.6,24.4,38.8,17.6,0.08,0
May,133.8,6.4,56.3,11.8,30.8,24.9,36.7,23.7,8.69,0
Jun,109.1,5.5,55.4,10.9,28.6,23.2,34.1,24.5,9.47,0
Jul,152.5,4.4,63.3,9.6,26.2,21.4,31,24.4,12.45,0
Aug,253.8,3.9,66.5,9.3,25.9,21.3,30.6,26.2,15.43,0
Sep,69.1,4.5,59.4,11.9,27,21.1,33,25,7.54,0
Oct,7.1,5.4,51.1,14.3,28.2,21.1,35.4,20.5,1.37,0
Nov,0,6,53.5,16.7,26.4,18.1,34.8,11.1,0,0
Dec,0,6,43.6,17.9,24.2,15.3,33.2,10.6,0,0
Jan,0,5.7,52,15.1,21.4,13.9,29,6.6,0,0
Feb,0,7.3,60,15.3,29.3,21.7,37,9.5,0,0
Mar,0.1,7.6,59.5,14.9,31.2,23.8,38.7,12.1,0,0
Apr,8.3,7.4,57.4,14.2,31.7,24.6,38.8,18,1.15,0
May,93.4,6,67.4,12,30.4,24.4,36.4,23.5,6.26,0
Jun,300.1,5.1,63.3,10.3,27.8,22.7,33,24,14.62,0
Jul,183.7,4.2,63.6,9,26.5,22,31,25.9,13.65,0
Aug,222.9,3.7,72.3,8.8,25.5,21.1,29.9,25.5,14.33,0
Sep,177.3,4.4,58.1,11.1,26.6,21.1,32.2,25.2,11.8,0
Oct,23.3,5.2,51.6,13.8,27.1,20.2,34,19.2,3.1,0
Nov,0,6,47.8,16.7,25.5,17.2,33.9,9.8,0,0
Dec,0,6.1,40.4,17.3,24.2,15.6,32.9,10.1,0,0
Jan,0,6.3,43,16.9,24.5,16.1,33,8.3,0,0
Feb,0,7.5,47,17,28.1,19.6,36.6,8.7,0,0
Mar,0.1,7.5,58.5,15.9,29.6,21.7,37.6,10.3,0,0
Apr,0.8,7.5,51.5,14.9,30.4,23,37.9,16,0.07,0
May,31.4,6.1,67.8,11.9,30.6,24.7,36.6,23.7,4.29,0
Jun,93,5.6,56.8,11.2,29.4,23.8,35,25.5,8.18,0
Jul,124.8,4.8,57.8,10.4,27.5,22.3,32.7,25.8,11.38,0
Aug,308.5,3.7,69.3,8.7,25.7,21.4,30.1,26.3,16.88,0
Sep,212.9,3.9,65.8,9.9,25.8,20.9,30.8,25,12.81,0
Oct,29.7,5.1,54.6,13,27.7,21.2,34.2,20.5,2.27,0
Nov,0,5.7,50.5,15,24.2,16.7,31.7,9,0,0
Dec,0,5.5,51.3,16.3,21.4,13.3,29.6,8.3,0,0
Jan,0,5.7,56.7,15.3,21,13.4,28.7,5.5,0,0
Feb,0,7.2,52.6,16.8,26.2,17.8,34.6,7.1,0,0
Mar,0.1,7.5,53.7,15.8,28.7,20.8,36.6,9,0,0
Apr,8.5,7.5,56.9,13.3,32.2,25.6,38.9,18.3,1.42,0
May,58.6,5.9,72,11.4,31.2,25.5,36.9,24.7,5.86,0
Jun,103.4,5.3,60.7,10.7,28.8,23.5,34.2,25.6,9.12,0
Jul,179.6,4.3,64.9,9.1,26.6,22.1,31.2,25.7,13.48,0
Aug,266,3.7,67.1,9,24.8,20.3,29.3,24.5,15.71,0
Sep,142.8,4.2,58.8,11,26,20.5,31.5,24.7,10.58,0
Oct,1,5.5,45,15.8,27.5,19.6,35.4,18.9,0.07,0
Nov,0,6.1,49.6,16.7,26.7,18.4,35.1,10.9,0,0
Dec,0,5.8,51.1,16.4,23.8,15.6,32,10.2,0,0
Jan,0,5.5,59.3,14.9,19.8,12.4,27.3,5,0,0
Feb,0,6.9,42.3,15.5,23.4,15.7,31.2,5.1,0,0
Mar,0.1,7.8,49.1,16.9,29.6,21.2,38.1,10.1,0,0
Apr,2.8,7.1,59,14,30.4,23.4,37.4,17,0.48,0
May,55.7,6.2,63.1,12.4,30.2,24,36.4,22.9,5.36,0
Jun,90.5,5.6,52.9,11.5,28.8,23.1,34.6,24.9,8.58,0
Jul,253.9,4.2,64.9,9.3,26.3,21.7,31,25.8,15.23,0
Aug,254.5,3.7,69.9,8.9,25.7,21.3,30.2,26.4,15.42,0
Sep,105.3,4.1,61.1,10.5,26.3,21.1,31.6,25.5,9.26,0
Oct,5.6,5.1,54.8,13.4,27.3,20.6,34,19.9,0.52,0
Nov,0,6.2,41,17.4,25.5,16.8,34.2,9.8,0,0
Dec,0,5.9,49.1,16.8,24.2,15.8,32.6,10.1,0,0
Jan,0,6.2,43.9,17.1,23.6,15.1,32.2,7.5,0,0
Feb,0,7.3,57.3,16.7,27.8,19.5,36.2,8.6,0,0
Mar,0.1,7.5,59.3,15.8,29.4,21.5,37.3,10.1,0,0
Apr,12.2,7.6,52.2,14.4,31.9,24.7,39.1,17.6,1.58,0
May,112.2,6.5,56,12.7,30.4,24.1,36.8,22.7,8.13,0
Jun,127.1,5.6,60.3,11.8,29.3,23.4,35.2,24.9,9.89,0
Jul,182.5,4.7,59.6,10.1,27.3,22.3,32.4,25.5,13.42,0
Aug,226.5,4,62.5,9.4,26.7,22,31.4,28,14.34,0
Sep,121.8,4.3,58.8,10.9,26.9,21.5,32.4,25.8,9.87,0
Oct,37.2,5.2,54.4,12.7,27.9,21.6,34.3,20.3,3.16,0
Nov,0,5.8,52,15.4,25.6,17.9,33.3,10.5,0,0
Dec,0,6,42.2,17.6,24,15.2,32.8,10,0,0
Jan,0,6.5,38.6,18.4,23.7,14.5,32.9,6.5,0,0
Feb,0,7.7,41.9,17.5,28.3,19.6,37.1,8,0,0
Mar,0.1,7.4,62.6,15.2,29.9,22.3,37.5,10.6,0,0
Apr,34.2,7.5,54.5,14,32.4,25.4,39.4,18.8,2.23,0
May,43.4,6.4,64.2,11.9,32,26.1,38,25.1,4.6,0
Jun,179.9,5.4,57.6,11.2,28.9,23.3,34.5,25.5,11.62,0
Jul,197.5,4.1,63.5,9,26.5,22,31,26.5,13.84,0
Aug,268.7,3.5,73,8.5,25.6,21.4,29.9,26.6,15.88,0
Sep,205.7,4,60.1,10.1,25.8,20.8,30.9,25.4,12.52,0
Oct,41.5,4.9,59.9,12.2,27.8,21.7,33.9,20.8,3.48,0
Nov,0,6.2,48.1,16.4,27.2,19,35.4,11.6,0,0
Dec,0,5.9,47.8,17.7,23.2,14.4,32.1,9.3,0,0
